Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01802","Sugar cane","2007","2007","hg/ha","200000","E","Estimated value"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01802","Sugar cane","2008","2008","hg/ha","209867","E","Estimated value"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01802","Sugar cane","2009","2009","hg/ha","400000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01802","Sugar cane","2005","2005","tonnes","38000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01802","Sugar cane","2006","2006","tonnes","70000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01802","Sugar cane","2007","2007","tonnes","74000","E","Estimated value"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01802","Sugar cane","2008","2008","tonnes","62960","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01802","Sugar cane","2009","2009","tonnes","123200","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2005","2005","ha","2342000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2006","2006","ha","2444000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2007","2007","ha","2466000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2008","2008","ha","2139000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2009","2009","ha","2575000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0111","Wheat","2005","2005","hg/ha","18215","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0111","Wheat","2006","2006","hg/ha","13760","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0111","Wheat","2007","2007","hg/ha","18183","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0111","Wheat","2008","2008","hg/ha","12263","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0111","Wheat","2009","2009","hg/ha","19666","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2005","2005","tonnes","4266000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2006","2006","tonnes","3363000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2007","2007","tonnes","4484000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2008","2008","tonnes","2623000","A","Official figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2009","2009","tonnes","5064000","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2005","2005","ha","1502","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2006","2006","ha","2175","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2007","2007","ha","1400","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2008","2008","ha","1400","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2009","2009","ha","1700","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5419","Yield","0115","Barley","2005","2005","hg/ha","27297","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5419","Yield","0115","Barley","2006","2006","hg/ha","27586","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5419","Yield","0115","Barley","2007","2007","hg/ha","25000","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5419","Yield","0115","Barley","2008","2008","hg/ha","25714","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5419","Yield","0115","Barley","2009","2009","hg/ha","26471","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2005","2005","tonnes","4100","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2006","2006","tonnes","6000","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2007","2007","tonnes","3500","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2008","2008","tonnes","3600","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2009","2009","tonnes","4500","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01701","Beans, dry","2005","2005","ha","16100","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01701","Beans, dry","2006","2006","ha","15076","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01701","Beans, dry","2007","2007","ha","14600","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01701","Beans, dry","2008","2008","ha","14300","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01701","Beans, dry","2009","2009","ha","14000","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5419","Yield","01701","Beans, dry","2005","2005","hg/ha","14658","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5419","Yield","01701","Beans, dry","2006","2006","hg/ha","16118","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5419","Yield","01701","Beans, dry","2007","2007","hg/ha","14247","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5419","Yield","01701","Beans, dry","2008","2008","hg/ha","15245","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5419","Yield","01701","Beans, dry","2009","2009","hg/ha","16429","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01701","Beans, dry","2005","2005","tonnes","23600","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01701","Beans, dry","2006","2006","tonnes","24300","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01701","Beans, dry","2007","2007","tonnes","20800","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01701","Beans, dry","2008","2008","tonnes","21800","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01701","Beans, dry","2009","2009","tonnes","23000","A","Official figure"
